"filename", "language", "Markdown", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\sem 5\project\E_ticket_system\frontend\.eslintrc.cjs", "JavaScript", 0, 21, 0, 0, 0, 0, 1, 22
"d:\sem 5\project\E_ticket_system\frontend\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 4, 9
"d:\sem 5\project\E_ticket_system\frontend\index.html", "HTML", 0, 0, 0, 0, 21, 0, 2, 23
"d:\sem 5\project\E_ticket_system\frontend\package-lock.json", "JSON", 0, 0, 0, 6376, 0, 0, 1, 6377
"d:\sem 5\project\E_ticket_system\frontend\package.json", "JSON", 0, 0, 0, 42, 0, 0, 1, 43
"d:\sem 5\project\E_ticket_system\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 1, 7
"d:\sem 5\project\E_ticket_system\frontend\src\App.jsx", "JavaScript", 0, 43, 0, 0, 0, 0, 5, 48
"d:\sem 5\project\E_ticket_system\frontend\src\api\axios.js", "JavaScript", 0, 6, 0, 0, 0, 0, 4, 10
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\BookingForm.jsx", "JavaScript", 0, 267, 0, 0, 0, 0, 26, 293
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\CollapseCard.jsx", "JavaScript", 0, 58, 0, 0, 0, 1, 6, 65
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\CustomerBus.jsx", "JavaScript", 0, 181, 0, 0, 0, 1, 6, 188
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\Home.jsx", "JavaScript", 0, 65, 0, 0, 0, 0, 8, 73
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\SearchBar.jsx", "JavaScript", 0, 136, 0, 0, 0, 1, 10, 147
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\Seat.jsx", "JavaScript", 0, 46, 0, 0, 0, 0, 4, 50
"d:\sem 5\project\E_ticket_system\frontend\src\components\Home\SeatArrangementForUser.jsx", "JavaScript", 0, 98, 0, 0, 0, 0, 4, 102
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\AddBus.jsx", "JavaScript", 0, 528, 0, 0, 0, 1, 43, 572
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\AdminHome.jsx", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 41
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\Bus.jsx", "JavaScript", 0, 170, 0, 0, 0, 0, 11, 181
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\RequireAdminAuth.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\RouteTable.jsx", "JavaScript", 0, 93, 0, 0, 0, 0, 7, 100
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\Seat.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 3, 23
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\SeatArrangement.jsx", "JavaScript", 0, 99, 0, 0, 0, 0, 3, 102
"d:\sem 5\project\E_ticket_system\frontend\src\components\admin\sidebar.jsx", "JavaScript", 0, 62, 0, 0, 0, 0, 4, 66
"d:\sem 5\project\E_ticket_system\frontend\src\components\checker\CheckerHome.jsx", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"d:\sem 5\project\E_ticket_system\frontend\src\components\checker\RequireCheckerAuth.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"d:\sem 5\project\E_ticket_system\frontend\src\components\signIn\SignIn.jsx", "JavaScript", 0, 118, 0, 0, 0, 0, 9, 127
"d:\sem 5\project\E_ticket_system\frontend\src\components\signIn\SignInModal.jsx", "JavaScript", 0, 37, 0, 0, 0, 0, 6, 43
"d:\sem 5\project\E_ticket_system\frontend\src\components\signIn\Toggle.jsx", "JavaScript", 0, 32, 0, 0, 0, 0, 5, 37
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Card.jsx", "JavaScript", 0, 154, 0, 0, 0, 0, 5, 159
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\ConfirmModal.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 3, 26
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Feed.jsx", "JavaScript", 0, 40, 0, 0, 0, 0, 3, 43
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Footer.jsx", "JavaScript", 0, 74, 0, 0, 0, 0, 2, 76
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Header.jsx", "JavaScript", 0, 50, 0, 0, 0, 0, 3, 53
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\ImageUploader.jsx", "JavaScript", 0, 79, 0, 0, 0, 3, 8, 90
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\Loading.jsx", "JavaScript", 0, 10, 0, 0, 0, 0, 3, 13
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\SlideShow.jsx", "JavaScript", 0, 38, 0, 0, 0, 0, 2, 40
"d:\sem 5\project\E_ticket_system\frontend\src\components\ui\weekDaySelector.jsx", "JavaScript", 0, 75, 0, 0, 0, 1, 6, 82
"d:\sem 5\project\E_ticket_system\frontend\src\context\AuthContext.jsx", "JavaScript", 0, 14, 0, 0, 0, 0, 4, 18
"d:\sem 5\project\E_ticket_system\frontend\src\context\DataContext.jsx", "JavaScript", 0, 40, 0, 0, 0, 0, 2, 42
"d:\sem 5\project\E_ticket_system\frontend\src\index.css", "CSS", 0, 0, 3, 0, 0, 0, 1, 4
"d:\sem 5\project\E_ticket_system\frontend\src\main.jsx", "JavaScript", 0, 13, 0, 0, 0, 0, 2, 15
"d:\sem 5\project\E_ticket_system\frontend\src\utils\formatNumber.jsx", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"d:\sem 5\project\E_ticket_system\frontend\src\utils\getDays.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"d:\sem 5\project\E_ticket_system\frontend\src\utils\subtractTime.js", "JavaScript", 0, 15, 0, 0, 0, 5, 7, 27
"d:\sem 5\project\E_ticket_system\frontend\tailwind.config.js", "JavaScript", 0, 7, 0, 0, 0, 1, 1, 9
"d:\sem 5\project\E_ticket_system\frontend\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 1, 2, 8
"Total", "-", 5, 2810, 3, 6418, 21, 15, 248, 9520